# Raman microscope export (synthetic -- generated by make_demo_data.py)
# Laser        : 532 nm
# Grating      : 1800 l/mm
# Exposure     : 10 s x 3 accumulations
# Objective    : 50x
# Columns      : Wavenumber (cm-1)	Intensity (counts)
800.00	483.224
801.00	489.438
802.00	484.047
803.00	464.948
804.00	491.956
805.00	486.954
806.00	475.663
807.00	489.589
808.00	487.501
809.00	487.167
810.00	484.492
811.00	491.226
812.00	476.344
813.00	483.743
814.00	480.431
815.00	493.922
816.00	487.734
817.00	484.270
818.00	478.920
819.00	485.742
820.00	489.452
821.00	486.575
822.00	505.940
823.00	503.022
824.00	458.939
825.00	469.338
826.00	490.443
827.00	488.010
828.00	496.177
829.00	496.759
830.00	520.105
831.00	481.888
832.00	491.243
833.00	520.832
834.00	504.624
835.00	505.367
836.00	491.790
837.00	478.730
838.00	501.068
839.00	500.918
840.00	485.435
841.00	492.520
842.00	500.410
843.00	490.495
844.00	501.212
845.00	504.097
846.00	503.941
847.00	498.001
848.00	511.766
849.00	515.901
850.00	509.625
851.00	496.525
852.00	515.694
853.00	501.469
854.00	518.609
855.00	495.772
856.00	520.183
857.00	509.546
858.00	495.381
859.00	507.180
860.00	512.177
861.00	515.385
862.00	500.910
863.00	499.994
864.00	516.265
865.00	508.858
866.00	517.875
867.00	524.756
868.00	496.449
869.00	519.882
870.00	532.122
871.00	514.454
872.00	508.894
873.00	528.251
874.00	522.868
875.00	531.181
876.00	516.893
877.00	503.861
878.00	520.931
879.00	517.511
880.00	532.776
881.00	526.408
882.00	505.129
883.00	510.973
884.00	536.538
885.00	534.708
886.00	519.489
887.00	527.781
888.00	533.764
889.00	534.663
890.00	540.183
891.00	533.374
892.00	529.788
893.00	528.451
894.00	544.859
895.00	505.814
896.00	531.796
897.00	534.493
898.00	517.632
899.00	539.370
900.00	528.203
901.00	547.012
902.00	535.800
903.00	545.984
904.00	553.229
905.00	543.847
906.00	529.395
907.00	522.385
908.00	562.252
909.00	540.532
910.00	534.263
911.00	544.916
912.00	541.549
913.00	554.734
914.00	545.580
915.00	546.003
916.00	537.931
917.00	552.810
918.00	535.439
919.00	556.508
920.00	567.479
921.00	531.571
922.00	520.949
923.00	558.625
924.00	582.478
925.00	540.574
926.00	538.261
927.00	561.022
928.00	544.552
929.00	549.257
930.00	551.842
931.00	563.096
932.00	552.542
933.00	561.435
934.00	556.679
935.00	549.360
936.00	556.358
937.00	549.493
938.00	561.680
939.00	548.820
940.00	549.899
941.00	581.206
942.00	563.794
943.00	564.497
944.00	571.996
945.00	561.523
946.00	564.548
947.00	573.111
948.00	572.118
949.00	555.540
950.00	580.175
951.00	563.816
952.00	558.955
953.00	561.551
954.00	568.401
955.00	593.348
956.00	560.448
957.00	577.211
958.00	550.374
959.00	576.748
960.00	588.303
961.00	575.411
962.00	571.443
963.00	582.520
964.00	588.892
965.00	589.204
966.00	605.661
967.00	585.254
968.00	576.391
969.00	582.745
970.00	584.145
971.00	587.080
972.00	586.177
973.00	589.389
974.00	568.017
975.00	598.790
976.00	582.707
977.00	576.297
978.00	598.801
979.00	607.730
980.00	598.615
981.00	595.411
982.00	583.070
983.00	629.498
984.00	606.386
985.00	582.937
986.00	588.040
987.00	599.228
988.00	580.319
989.00	601.792
990.00	595.054
991.00	616.074
992.00	613.703
993.00	570.422
994.00	604.260
995.00	585.154
996.00	618.685
997.00	608.194
998.00	613.567
999.00	595.016
1000.00	630.551
1001.00	633.666
1002.00	597.465
1003.00	615.534
1004.00	603.802
1005.00	612.421
1006.00	598.340
1007.00	636.760
1008.00	603.552
1009.00	612.459
1010.00	622.862
1011.00	609.907
1012.00	615.642
1013.00	612.588
1014.00	618.589
1015.00	606.986
1016.00	616.620
1017.00	620.238
1018.00	619.564
1019.00	625.098
1020.00	621.751
1021.00	635.160
1022.00	623.098
1023.00	626.194
1024.00	620.715
1025.00	623.235
1026.00	615.242
1027.00	637.506
1028.00	618.437
1029.00	624.066
1030.00	638.198
1031.00	639.591
1032.00	630.833
1033.00	612.280
1034.00	642.436
1035.00	641.385
1036.00	622.204
1037.00	649.282
1038.00	632.511
1039.00	628.299
1040.00	643.853
1041.00	641.455
1042.00	646.923
1043.00	626.119
1044.00	668.034
1045.00	639.956
1046.00	629.615
1047.00	656.422
1048.00	645.645
1049.00	654.710
1050.00	647.648
1051.00	651.920
1052.00	656.501
1053.00	645.510
1054.00	663.534
1055.00	650.672
1056.00	646.798
1057.00	659.085
1058.00	664.429
1059.00	657.270
1060.00	650.601
1061.00	669.323
1062.00	641.698
1063.00	651.390
1064.00	665.176
1065.00	649.312
1066.00	666.926
1067.00	666.879
1068.00	679.272
1069.00	658.461
1070.00	662.882
1071.00	675.347
1072.00	642.816
1073.00	710.468
1074.00	665.847
1075.00	666.438
1076.00	686.496
1077.00	676.655
1078.00	656.751
1079.00	686.602
1080.00	690.319
1081.00	675.634
1082.00	678.635
1083.00	688.829
1084.00	673.078
1085.00	690.232
1086.00	688.353
1087.00	678.855
1088.00	671.243
1089.00	686.239
1090.00	679.440
1091.00	702.964
1092.00	693.681
1093.00	702.344
1094.00	695.583
1095.00	698.134
1096.00	686.597
1097.00	705.027
1098.00	719.445
1099.00	695.334
1100.00	692.961
1101.00	699.206
1102.00	696.354
1103.00	694.743
1104.00	705.853
1105.00	701.740
1106.00	723.537
1107.00	707.314
1108.00	712.243
1109.00	720.827
1110.00	706.843
1111.00	728.745
1112.00	704.966
1113.00	703.916
1114.00	710.281
1115.00	714.362
1116.00	699.988
1117.00	717.451
1118.00	698.933
1119.00	736.722
1120.00	720.121
1121.00	714.468
1122.00	712.354
1123.00	719.725
1124.00	722.749
1125.00	713.983
1126.00	716.572
1127.00	726.460
1128.00	723.556
1129.00	742.178
1130.00	745.667
1131.00	733.313
1132.00	739.915
1133.00	719.324
1134.00	744.113
1135.00	737.217
1136.00	744.524
1137.00	759.039
1138.00	713.594
1139.00	745.229
1140.00	730.044
1141.00	751.480
1142.00	729.756
1143.00	740.717
1144.00	750.245
1145.00	756.327
1146.00	751.018
1147.00	741.767
1148.00	745.802
1149.00	764.225
1150.00	754.715
1151.00	735.749
1152.00	767.256
1153.00	763.309
1154.00	769.980
1155.00	756.648
1156.00	771.818
1157.00	750.343
1158.00	771.116
1159.00	759.596
1160.00	774.781
1161.00	779.968
1162.00	760.285
1163.00	769.722
1164.00	772.029
1165.00	787.066
1166.00	782.549
1167.00	760.629
1168.00	781.993
1169.00	786.689
1170.00	804.484
1171.00	760.104
1172.00	775.077
1173.00	798.778
1174.00	767.786
1175.00	770.927
1176.00	792.805
1177.00	800.105
1178.00	781.149
1179.00	796.949
1180.00	793.170
1181.00	811.296
1182.00	794.363
1183.00	807.580
1184.00	786.180
1185.00	796.126
1186.00	798.516
1187.00	814.684
1188.00	809.315
1189.00	794.688
1190.00	813.249
1191.00	815.676
1192.00	806.458
1193.00	806.081
1194.00	808.230
1195.00	791.604
1196.00	815.605
1197.00	817.558
1198.00	805.766
1199.00	826.479
1200.00	802.519
1201.00	813.805
1202.00	816.164
1203.00	847.164
1204.00	805.580
1205.00	832.985
1206.00	839.012
1207.00	833.720
1208.00	844.859
1209.00	820.143
1210.00	806.321
1211.00	844.403
1212.00	822.378
1213.00	834.348
1214.00	825.665
1215.00	853.997
1216.00	853.318
1217.00	835.874
1218.00	856.946
1219.00	849.160
1220.00	847.644
1221.00	851.630
1222.00	850.145
1223.00	861.607
1224.00	859.613
1225.00	853.370
1226.00	871.327
1227.00	853.617
1228.00	866.115
1229.00	869.469
1230.00	883.896
1231.00	861.847
1232.00	890.607
1233.00	873.599
1234.00	870.969
1235.00	867.056
1236.00	884.008
1237.00	879.425
1238.00	867.479
1239.00	869.092
1240.00	877.884
1241.00	878.384
1242.00	901.546
1243.00	906.957
1244.00	902.885
1245.00	898.793
1246.00	891.419
1247.00	899.297
1248.00	911.371
1249.00	928.464
1250.00	916.013
1251.00	903.888
1252.00	909.934
1253.00	905.943
1254.00	904.632
1255.00	914.131
1256.00	921.044
1257.00	943.118
1258.00	924.139
1259.00	942.269
1260.00	949.696
1261.00	931.978
1262.00	952.916
1263.00	944.835
1264.00	933.926
1265.00	944.846
1266.00	944.717
1267.00	944.484
1268.00	947.770
1269.00	954.826
1270.00	961.304
1271.00	948.534
1272.00	962.163
1273.00	947.196
1274.00	971.851
1275.00	979.534
1276.00	977.423
1277.00	982.368
1278.00	989.581
1279.00	978.170
1280.00	987.021
1281.00	999.852
1282.00	1009.672
1283.00	1006.419
1284.00	1036.451
1285.00	1008.968
1286.00	1026.425
1287.00	1034.116
1288.00	1021.924
1289.00	1018.430
1290.00	1018.973
1291.00	1040.145
1292.00	1056.709
1293.00	1051.995
1294.00	1056.327
1295.00	1055.397
1296.00	1072.561
1297.00	1046.273
1298.00	1080.971
1299.00	1085.014
1300.00	1074.950
1301.00	1124.454
1302.00	1088.898
1303.00	1100.074
1304.00	1106.323
1305.00	1142.069
1306.00	1126.396
1307.00	1153.695
1308.00	1161.663
1309.00	1167.008
1310.00	1157.833
1311.00	1176.178
1312.00	1213.981
1313.00	1189.190
1314.00	1205.886
1315.00	1225.528
1316.00	1249.229
1317.00	1255.035
1318.00	1273.873
1319.00	1265.580
1320.00	1303.618
1321.00	1313.479
1322.00	1302.362
1323.00	1355.294
1324.00	1380.105
1325.00	1359.603
1326.00	1386.151
1327.00	1419.306
1328.00	1402.177
1329.00	1413.801
1330.00	1440.099
1331.00	1467.028
