Wavenumber,Intensity
3200.00,784.816
3199.00,784.368
3198.00,808.961
3197.00,794.740
3196.00,783.090
3195.00,792.340
3194.00,785.837
3193.00,787.456
3192.00,788.774
3191.00,798.983
3190.00,799.231
3189.00,787.203
3188.00,796.170
3187.00,763.511
3186.00,780.027
3185.00,804.392
3184.00,781.651
3183.00,778.577
3182.00,779.240
3181.00,786.860
3180.00,784.173
3179.00,799.999
3178.00,785.745
3177.00,787.760
3176.00,770.127
3175.00,803.023
3174.00,797.029
3173.00,802.434
3172.00,783.537
3171.00,799.029
3170.00,794.374
3169.00,789.038
3168.00,773.714
3167.00,786.816
3166.00,793.836
3165.00,772.765
3164.00,813.907
3163.00,784.947
3162.00,793.157
3161.00,804.568
3160.00,794.362
3159.00,809.509
3158.00,807.073
3157.00,809.431
3156.00,814.931
3155.00,792.527
3154.00,790.206
3153.00,788.857
3152.00,784.597
3151.00,809.397
3150.00,806.511
3149.00,786.645
3148.00,789.993
3147.00,816.826
3146.00,788.435
3145.00,797.441
3144.00,782.951
3143.00,785.056
3142.00,827.315
3141.00,780.990
3140.00,810.135
3139.00,803.046
3138.00,808.383
3137.00,787.349
3136.00,791.115
3135.00,786.644
3134.00,803.891
3133.00,800.598
3132.00,773.802
3131.00,793.832
3130.00,798.106
3129.00,814.518
3128.00,807.688
3127.00,797.666
3126.00,798.837
3125.00,786.886
3124.00,790.966
3123.00,784.128
3122.00,782.097
3121.00,796.022
3120.00,797.440
3119.00,804.236
3118.00,825.953
3117.00,802.437
3116.00,804.788
3115.00,791.100
3114.00,806.911
3113.00,821.726
3112.00,807.794
3111.00,795.969
3110.00,792.235
3109.00,803.303
3108.00,815.633
3107.00,810.225
3106.00,792.052
3105.00,780.763
3104.00,806.619
3103.00,805.328
3102.00,810.587
3101.00,816.294
3100.00,807.873
3099.00,784.631
3098.00,811.654
3097.00,806.436
3096.00,799.335
3095.00,803.156
3094.00,805.587
3093.00,778.491
3092.00,782.831
3091.00,800.506
3090.00,801.003
3089.00,801.583
3088.00,791.018
3087.00,809.857
3086.00,804.699
3085.00,803.007
3084.00,781.167
3083.00,822.443
3082.00,801.702
3081.00,817.338
3080.00,800.076
3079.00,786.878
3078.00,803.279
3077.00,772.956
3076.00,790.265
3075.00,810.401
3074.00,798.410
3073.00,797.343
3072.00,798.710
3071.00,807.884
3070.00,807.515
3069.00,799.468
3068.00,790.082
3067.00,785.032
3066.00,818.868
3065.00,793.806
3064.00,792.937
3063.00,800.206
3062.00,790.302
3061.00,789.448
3060.00,791.109
3059.00,788.795
3058.00,814.700
3057.00,797.430
3056.00,808.248
3055.00,813.338
3054.00,800.270
3053.00,796.666
3052.00,785.018
3051.00,794.240
3050.00,801.113
3049.00,817.672
3048.00,815.844
3047.00,814.626
3046.00,804.367
3045.00,805.326
3044.00,820.325
3043.00,800.252
3042.00,791.987
3041.00,798.383
3040.00,805.697
3039.00,819.529
3038.00,804.321
3037.00,798.762
3036.00,807.874
3035.00,798.672
3034.00,792.657
3033.00,811.632
3032.00,799.044
3031.00,815.499
3030.00,803.238
3029.00,830.829
3028.00,813.554
3027.00,801.674
3026.00,800.830
3025.00,810.933
3024.00,820.657
3023.00,807.731
3022.00,823.044
3021.00,820.344
3020.00,808.053
3019.00,833.809
3018.00,808.154
3017.00,826.056
3016.00,807.882
3015.00,816.274
3014.00,808.473
3013.00,836.609
3012.00,809.981
3011.00,809.974
3010.00,812.468
3009.00,795.106
3008.00,805.473
3007.00,811.826
3006.00,818.485
3005.00,813.694
3004.00,834.288
3003.00,821.183
3002.00,810.521
3001.00,811.430
3000.00,828.651
2999.00,815.534
2998.00,814.656
2997.00,803.790
2996.00,817.125
2995.00,792.080
2994.00,799.972
2993.00,783.618
2992.00,805.560
2991.00,816.844
2990.00,808.041
2989.00,825.694
2988.00,821.339
2987.00,805.906
2986.00,824.451
2985.00,804.681
2984.00,813.137
2983.00,833.224
2982.00,822.549
2981.00,822.878
2980.00,805.385
2979.00,828.167
2978.00,821.930
2977.00,814.279
2976.00,827.092
2975.00,815.748
2974.00,847.627
2973.00,833.416
2972.00,827.763
2971.00,844.445
2970.00,821.253
2969.00,810.284
2968.00,831.150
2967.00,849.325
2966.00,821.379
2965.00,825.508
2964.00,837.144
2963.00,830.180
2962.00,816.275
2961.00,816.710
2960.00,844.529
2959.00,808.919
2958.00,844.064
2957.00,818.425
2956.00,836.228
2955.00,809.858
2954.00,825.206
2953.00,813.030
2952.00,820.332
2951.00,828.689
2950.00,828.586
2949.00,838.348
2948.00,830.948
2947.00,817.917
2946.00,827.407
2945.00,845.290
2944.00,811.165
2943.00,843.450
2942.00,841.965
2941.00,815.548
2940.00,811.585
2939.00,819.109
2938.00,850.482
2937.00,843.258
2936.00,849.392
2935.00,822.539
2934.00,826.231
2933.00,835.860
2932.00,827.801
2931.00,834.894
2930.00,842.363
2929.00,852.970
2928.00,825.536
2927.00,850.269
2926.00,831.890
2925.00,847.012
2924.00,827.138
2923.00,851.093
2922.00,831.423
2921.00,836.061
2920.00,856.106
2919.00,846.632
2918.00,845.804
2917.00,856.385
2916.00,851.085
2915.00,840.047
2914.00,847.204
2913.00,861.740
2912.00,842.512
2911.00,830.257
2910.00,861.220
2909.00,865.676
2908.00,864.670
2907.00,843.406
